ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
6340,2544 - 3619,2544,3619,26,2900.461788172457100
6341,2544 - 2496,2544,2496,27,3066.230384576621000
6342,2544 - 3291,2544,3291,28,3113.408663119082600
6343,2544 - 2495,2544,2495,29,3126.649228499745700
6344,2544 - 1001,2544,1001,30,3226.526084527124600
6345,2544 - 3294,2544,3294,31,3244.413680308689400
6346,2544 - 2494,2544,2494,32,3246.709136431269600
6347,2544 - 2561,2544,2561,33,3283.621492490561200
6348,2544 - 2707,2544,2707,34,3322.722315936587600
6349,2544 - 4047,2544,4047,35,3326.658323773451700
6350,2544 - 2497,2544,2497,36,3397.689785946871800
6351,2544 - 3684,2544,3684,37,3429.229719340735300
6352,2544 - 3455,2544,3455,38,3550.601293893702400
6353,2544 - 2499,2544,2499,39,3587.103623430501600
6354,2544 - 2537,2544,2537,40,3689.043161846757800
6355,2544 - 3621,2544,3621,41,3754.581763735961400
6356,2544 - 3513,2544,3513,42,3952.496708399025500
6357,2544 - 2552,2544,2552,43,4012.128981508024000
6358,2544 - 2501,2544,2501,44,4017.764491765657600
6359,2544 - 3685,2544,3685,45,4042.122993093043500
6360,2544 - 3635,2544,3635,46,4080.511786552052400
6361,2544 - 2502,2544,2502,47,4133.957137690172200
6362,2544 - 2549,2544,2549,48,4226.336508439673700
6363,2544 - 4048,2544,4048,49,4363.786274584305800
6364,2544 - 2540,2544,2540,50,4376.278828332555300
6365,2544 - 2566,2544,2566,51,4414.344278951894900
6366,2544 - 3799,2544,3799,52,4454.878845179984600
6367,2544 - 3798,2544,3798,53,4476.242831201921900
6368,2544 - 3687,2544,3687,54,4580.544892324631300
6369,2544 - 2567,2544,2567,55,4638.955403243036000
6370,2544 - 3797,2544,3797,56,4675.757736277476400
6371,2544 - 2570,2544,2570,57,4676.821252200027600
6372,2544 - 2503,2544,2503,58,4827.716997074515300
6373,2544 - 2547,2544,2547,59,4831.585351592224500
6374,2544 - 2575,2544,2575,60,4877.488990503155900
6375,2544 - 3794,2544,3794,61,4925.771680359162000
6376,2544 - 2548,2544,2548,62,5032.856394509000000
6377,2544 - 2504,2544,2504,63,5091.664814430997500
6378,2544 - 4050,2544,4050,64,5237.484569699117900
6379,2544 - 3795,2544,3795,65,5259.906975433703300
6380,2544 - 3792,2544,3792,66,5340.406995289052200
6381,2544 - 2711,2544,2711,67,5423.838258144815000
6382,2544 - 3841,2544,3841,68,5441.944560867716100
6383,2544 - 3838,2544,3838,69,5593.270613202536000
6384,2544 - 3686,2544,3686,70,5789.843836050827100
6385,2544 - 3793,2544,3793,71,5994.693593693430600
